ATTRIBUTE NAME,DATA CATEGORY,PII CATEGORY,PII SUBCATEGORY,DEFINITION,DERIVATION TYPE,DATA TYPE,SAMPLE VALUES,DATA OWNER,FREQUENCY OF REFRESH,LATENCY,BRAND,CFU,SUBJECT AREA,REDSHIFT TABLE
health_buff_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the Health Buff profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Total Hits in a Month”: 114},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
ott_user_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber accesses OTT apps and sites such as discord, facebook_messenger, whatsapp
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
ott_user_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for OTT User profile
 
 Metric: Average Daily Hits in a Month
 Valid values: 
 LOW: <= 15 hits
 MID: > 15 & <= 24 hits
 HIGH: > 24 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),LOW,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
ott_user_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the OTT User profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Average Daily Hits in a Month”: 6},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
social_media_maverick_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber accesses social media apps and sites such as facebook, instagram, tiktok
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
social_media_maverick_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for Social Media Maverick profile
 
 Metric: Average Daily Hits in a Month
 Valid values: 
 LOW: <= 9 hits
 MID: > 9 & <= 18 hits
 HIGH: > 18 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),MID,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
social_media_maverick_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the Social Media Maverick profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Average Daily Hits in a Month”: 21},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
mobile_wallet_user_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber accesses mobile payment apps and sites such as Gcash, Paymaya, PayPal
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
mobile_wallet_user_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for Mobile Wallet User profile
 
 Metric: Total Hits in a Month
 Valid values: 
 LOW: <= 5 hits
 MID: > 5 & <= 11 hits
 HIGH: > 11 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),HIGH,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
mobile_wallet_user_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the Mobile Wallet User profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Total Hits in a Month”: 15},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
road_warrior_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber accesses electronic maps like waze, google_maps, apple_maps",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
road_warrior_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on the identified metric for the Road Warrior profile
 Metric: Average Daily Hits in a Month
 
 Valid values:
 
 Wireless
 LOW: <= 6
 MID: > 6 & <= 9
 HIGH: > 9",Inferred,varchar(1000),MID,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
road_warrior_details,Audience/Persona,Non-PII,Non-PII,Metric used and value for the Road Warrior profile,Inferred,varchar(1000),{“Average Daily Hits in a Month”: 7},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
telemedicine_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber accesses telemed apps or sites, or health informative pages such as aide, doc_online, healthnow
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
telemedicine_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for Health Conscious profile
 
 Metric: Total Hits in a Month
 Valid values: 
 LOW: <= 3 hits
 MID: > 3 & <= 6 hits
 HIGH: > 6 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),LOW,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
telemedicine_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the Telemedicine User profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Total Hits in a Month”: 2},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
online_learner_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber accesses learning apps or sites such as coursera, khan_academy, udemy, or websites offering online courses such as yale_university, up_open_university, tesda_online_program
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
online_learner_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for Online Learner profile
 
 Metric: Total Hits in a Month
 Valid values: 
 LOW: <= 6 hits
 MID: > 6 & <= 12 hits
 HIGH: > 12 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),MID,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
online_learner_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the Online Learner profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Total Hits in a Month”: 10},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
online_reader_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber accesses reading apps and sites like aldiko, flipboard, kindle
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
online_reader_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for Online Reader profile
 
 Metric: Total Hits in a Month
 Valid values: 
 LOW: <= 13 hits
 MID: > 13 & <= 21 hits
 HIGH: > 21 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),LOW,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
online_reader_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the Online Reader profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Total Hits in a Month”: 10},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
tnvs_user_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber uses hailing apps such as angkas, grab, owto
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
tnvs_user_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for TNVS User profile
 
 Metric: Total Hits in a Month
 Valid values: 
 LOW: <= 3 hits
 MID: > 3 & <= 7 hits
 HIGH: > 7 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),HIGH,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
tnvs_user_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the TNVS User profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Total Hits in a Month”: 41},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
digital_creative_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber uses apps or sites related to photography and layouting, specifically Camera360, Canva, Instagram
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
digital_creative_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for Digital Creative profile
 
 Metric: Total Hits in a Month
 Valid values: 
 LOW: <= 18 hits
 MID: > 18 & <= 26 hits
 HIGH: > 26 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),HIGH,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
digital_creative_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the Digital Creative profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Total Hits in a Month”: 50},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
online_banker_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber uses online banking apps based on data usage and SMS coming from banks such as AUB, BDO, BPI
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
online_banker_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for Online Banker profile
 
 Metric: Total Hits in a Month
 Valid values: 
 LOW: <= 5 hits
 MID: > 5 & <= 11 hits
 HIGH: > 11 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),HIGH,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
online_banker_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the Online Banker profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Total Hits in a Month”: 1},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
loyalty_card_owner_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber has a membership to a loyalty program based on SMS notifications from numbers such as CLIQQ, RUSTANSPH, SMAC",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
loyalty_card_owner_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on the identified metric for the Loyalty Card Owner profile
 Metric: Total Active Cards in a Month
 
 Valid values:
 
 Wireless
 LOW: <= 1
 MID: > 1 & <= 3
 HIGH: > 3",Inferred,varchar(1000),HIGH,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
loyalty_card_owner_details,Audience/Persona,Non-PII,Non-PII,Metric used and value for the Loyalty Card Owner profile,Inferred,varchar(1000),{“Total Active Card per Subs in 6 Months”: 1},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
kid_friendly_app_user_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber accesses kid friendly content apps or sites such as disney, nickelodeon, youtube_kids
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
kid_friendly_app_user_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for Kid Friendly App User profile
 
 Metric: Total Hits in a Month
 Valid values: 
 LOW: <= 9 hits
 MID: > 9 & <= 20 hits
 HIGH: > 20 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),HIGH,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
kid_friendly_app_user_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the Kid Friendly App User profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Total Hits in a Month”: 8},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
usage_monthly_total_sms_sent,Behavioral,Non-PII,Non-PII,Total no. of SMS sent by the subscriber for the past 1 month,Derived,integer,1,Omni/VoC,Monthly,,"GHP, GHP-PREPAID, TM, PW","Consumer, EG, SG, In house, IBG Traveler",usage,usage_profile
usage_monthly_total_outgoing_call_minutes,Behavioral,Non-PII,Non-PII,Total no. of outgoing calls in minutes by the subscriber for the 1 month,Derived,integer,1,Omni/VoC,Monthly,,"GHP, GHP-PREPAID, TM, PW, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",usage,usage_profile
usage_monthly_total_kb_data_used,Behavioral,Non-PII,Non-PII,Total no. of data (KB format) consumed by the subscriber for the 1 month,Derived,bigint,2240000000,Omni/VoC,Monthly,,"GHP, GHP-PREPAID, TM, PW","Consumer, EG, SG, In house, IBG Traveler",usage,usage_profile
foodie_online_delivery_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber visits online food delivery apps or sites such as FoodPanda, JollibeeDelivery, GrabFood
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
foodie_online_delivery_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for Foodie Online Delivery profile
 
 Metric: Total Hits in a Month
 Valid values: 
 LOW: <= 5 hits
 MID: > 5 & <= 10 hits
 HIGH: > 10 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),HIGH,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
foodie_online_delivery_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the Foodie Online Delivery profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Total Hits in a Month”: 3},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
restaurant_finder_indicator,Audience/Persona,Non-PII,Non-PII,"Indicator if a subscriber visits restaurant finder apps or sites such as zomato, eatigo
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,boolean,TRUE,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
restaurant_finder_bucket,Audience/Persona,Non-PII,Non-PII,"Bucketing based on identified metric for Restaurant Finder profile
 
 Metric: Total Hits in a Month
 Valid values: 
 LOW: <= 3 hits
 MID: > 3 & <= 5 hits
 HIGH: > 5 hits
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),HIGH,EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
restaurant_finder_details,Audience/Persona,Non-PII,Non-PII,"Metric used and value for the Restaurant Finder profile
 
 For wireline subscribers, only subscriptions within Metro Manila (including some areas in Rizal) and with DSL, VDSL and GPON technology value are covered.",Inferred,varchar(1000),{“Total Hits in a Month”: 3},EDO-UUP,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",interest,network_profile
availment_data_bundle_exp_date_past_90days,Campaign History,Non-PII,Non-PII,Last data bundle expiration date in past 90 days. Format: YYYY-MM-DD,Derived,timestamp,36706.33333,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",availment,availment_profile
availment_data_latest_date_past_30days,Campaign History,Non-PII,Non-PII,Latest date for data promo availed in past 30 days. Format: YYYY-MM-DD,Derived,timestamp,40131.52979,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",availment,availment_profile
availment_data_count_past_30days,Campaign History,Non-PII,Non-PII,Total data promo registration count in past 30 days,Derived,integer,20,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",availment,availment_profile
availment_data_count_past_120days,Campaign History,Non-PII,Non-PII,Total data promo registration count in past 120 days prior to past 30 days,Derived,integer,36,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",availment,availment_profile
reload_2nd_max_past_120days,Behavioral,Non-PII,Non-PII,No. of days between current date and latest topup date,Derived,"numeric(21,2)",50,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
bb_app_indicator,Behavioral,Non-PII,Non-PII,Tagging if subscriber downloaded the broadband app and registered their number.,Derived,boolean,TRUE,BB,Daily,,"WIRELINE, GLOBE","Consumer, EG, SG",customer,customer_profile
reload_most_frequent_sharer_msisdn_value,Customer PII,Non-PII,Non-PII,A-number who is often shared a load to B-number,Derived,varchar(1000),9050000000,BB,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
reload_most_frequent_sharer_subscriber_id,Globe ID,Non-PII,Non-PII,Subscriber ID assigned to A-number,Derived,varchar(1000),649000000,BB,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
active_subscriber_1wk_indicator,Behavioral,Non-PII,Non-PII,Indicator if a subscriber has activity for 1 week based from usage and reload activities,Derived,boolean,TRUE,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",usage,usage_profile
reload_max_daily_sum_past_30days,Behavioral,Non-PII,Non-PII,The maximum sum of daily top-up amount availed by the subscriber for the past 30 days prior to past 30 days.,Derived,"numeric(21,2)",65,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
reload_max_denom_past_30days,Behavioral,Non-PII,Non-PII,Maximum top-up denominations for the past 30 days,Derived,"numeric(21,2)",55,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
remaining_financial_account_credit_limit,Customer PII,Non-PII,Non-PII,Subscriber's remaining FACL (financial account credit limit) after deducting recurring fees (RC),Derived,"numeric(21,2)",19401,FVT,Monthly,,"GHP, WIRELINE","Consumer, EG, SG, In house",revenue,revenue_profile
historically_purchased_phone_indicator,Behavioral,Non-PII,Non-PII,Subscriber who availed postpaid plan with phone,Derived,boolean,TRUE,FVT,Daily,,GHP,"Consumer, EG, SG, In house",contract,contract_profile
monthly_excess_usage_fee_amount,Behavioral,Non-PII,Non-PII,Summary of MRF with Excess Usage,Derived,"numeric(21,2)",8374.31,FVT,Monthly,,"GHP, WIRELINE","Consumer, EG, SG, In house",invoice,invoice_profile
monthly_vas_UC,Profitability,Non-PII,Non-PII,Summary of MRF with VAS usage charges,Derived,"numeric(21,2)",1383.48,FVT,Monthly,,"GHP, WIRELINE","Consumer, EG, SG, In house",invoice,invoice_profile
monthly_roaming_UC,Profitability,Non-PII,Non-PII,Monthly roaming usage charges,Derived,"numeric(21,2)",8374.31,BB,Monthly,,GHP,"Consumer, EG, SG, In house",invoice,invoice_profile
subscriber_first_expiry,Globe ID,Non-PII,Non-PII,"Subscriber's first expiry, governed by topup and/or promo subscription (promo expiry, topup exhaustion, topup expiry or topup date + 365 days)",Direct Pull,timestamp,40417.48922,BB,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",customer,customer_profile
reload_gcash_channel_indicator,Behavioral,Non-PII,Non-PII,Subscriber who top-up via GCash app,Derived,boolean,TRUE,BB,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
reload_amax_channel_indicator,Behavioral,Non-PII,Non-PII,Subscriber who top-up via AMAX,Derived,boolean,TRUE,BB,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
unbarred_by_payment_indicator,Behavioral,Non-PII,Non-PII,"Tagging that a subscriber has been barred by maximizing SSL, then gets unbarred thru payment.",Derived,boolean,TRUE,FVT,Daily,,GHP,"Consumer, EG, SG",invoice,invoice_profile
availment_mode_promo_90days,Campaign History,Non-PII,Non-PII,Most frequent promo (excluding promo top-up/GYRO) availed by the subscriber for the past 90 days.,Derived,varchar(1000),GOSURF_RHES50,BB,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",availment,availment_profile
availment_highest_denom_sku_90days,Campaign History,Non-PII,Non-PII,The highest value availed promo SKUs of the subscriber for the past 3 months.,Derived,varchar(1000),CAP_CHARGE99,BB,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",availment,availment_profile
arpu_value,Profitability,Non-PII,Non-PII,Monthly Average Revenue Per User (ARPU) of subscriber,Direct Pull,"numeric(21,2)",3030.15,BB,Monthly,day-1,"GHP, GHP-PREPAID, TM, PW, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",revenue,revenue_profile
remaining_subscriber_spending_limit,Customer PII,Non-PII,Non-PII,Difference between subscriber's spending limit and Usage Charges (UC).,Derived,"numeric(21,2)",3000,MSH,Daily,,"GHP, WIRELINE","Consumer, EG, SG, In house",revenue,revenue_profile
total_paid_amount,Customer PII,Non-PII,Non-PII,Subscriber's latest paid amount,Derived,"numeric(21,2)",1499,FVT,Monthly,,"GHP, WIRELINE","Consumer, EG, SG, In house",payment,payment_profile
postpaid_arpu_30days,Profitability,Non-PII,Non-PII,30 days Average Revenue Per User (ARPU) of subscriber,Derived,"numeric(21,2)",15142.27,FVT CRM Broadband,Monthly,,"GHP, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house",revenue,revenue_profile
